instant_x,dteday,season,yr_x,mnth_x,holiday_x,weekday_x,workingday_x,weathersit_x,temp_x,atemp_x,hum_x,windspeed_x,casual_x,registered_x,cnt_x,dteday_numeric,instant_y,yr_y,mnth_y,hr,holiday_y,weekday_y,workingday_y,weathersit_y,temp_y,atemp_y,hum_y,windspeed_y,casual_y,registered_y,cnt_y
1,2011-01-01,1,0,1,0,0,0,1,0.5,0.5,0.6,0.1,200,800,1000,0,1.0,0.0,1.0,0.0,0.0,6.0,0.0,1.0,0.24,0.2879,0.81,0.0,3.0,13.0,16.0
1,2011-01-01,1,0,1,0,0,0,1,0.5,0.5,0.6,0.1,200,800,1000,0,2.0,0.0,1.0,1.0,0.0,6.0,0.0,1.0,0.22,0.2727,0.8,0.0,8.0,32.0,40.0
1,2011-01-01,1,0,1,0,0,0,1,0.5,0.5,0.6,0.1,200,800,1000,0,3.0,0.0,1.0,2.0,0.0,6.0,0.0,1.0,0.22,0.2727,0.8,0.0,5.0,27.0,32.0
1,2011-01-01,1,0,1,0,0,0,1,0.5,0.5,0.6,0.1,200,800,1000,0,4.0,0.0,1.0,3.0,0.0,6.0,0.0,1.0,0.24,0.2879,0.75,0.0,3.0,10.0,13.0
1,2011-01-01,1,0,1,0,0,0,1,0.5,0.5,0.6,0.1,200,800,1000,0,5.0,0.0,1.0,4.0,0.0,6.0,0.0,1.0,0.24,0.2879,0.75,0.0,0.0,1.0,1.0
1,2011-01-01,1,0,1,0,0,0,1,0.5,0.5,0.6,0.1,200,800,1000,0,6.0,0.0,1.0,5.0,0.0,6.0,0.0,2.0,0.24,0.2576,0.75,0.0896,0.0,1.0,1.0
1,2011-01-01,1,0,1,0,0,0,1,0.5,0.5,0.6,0.1,200,800,1000,0,7.0,0.0,1.0,6.0,0.0,6.0,0.0,1.0,0.22,0.2727,0.8,0.0,2.0,0.0,2.0
1,2011-01-01,1,0,1,0,0,0,1,0.5,0.5,0.6,0.1,200,800,1000,0,8.0,0.0,1.0,7.0,0.0,6.0,0.0,1.0,0.2,0.2576,0.86,0.0,1.0,2.0,3.0
1,2011-01-01,1,0,1,0,0,0,1,0.5,0.5,0.6,0.1,200,800,1000,0,9.0,0.0,1.0,8.0,0.0,6.0,0.0,1.0,0.24,0.2879,0.75,0.0,1.0,7.0,8.0
1,2011-01-01,1,0,1,0,0,0,1,0.5,0.5,0.6,0.1,200,800,1000,0,10.0,0.0,1.0,9.0,0.0,6.0,0.0,1.0,0.32,0.3485,0.76,0.0,8.0,6.0,14.0
1,2011-01-01,1,0,1,0,0,0,1,0.5,0.5,0.6,0.1,200,800,1000,0,11.0,0.0,1.0,10.0,0.0,6.0,0.0,1.0,0.38,0.3939,0.76,0.2537,12.0,24.0,36.0
1,2011-01-01,1,0,1,0,0,0,1,0.5,0.5,0.6,0.1,200,800,1000,0,12.0,0.0,1.0,11.0,0.0,6.0,0.0,1.0,0.36,0.3333,0.81,0.2836,26.0,30.0,56.0
1,2011-01-01,1,0,1,0,0,0,1,0.5,0.5,0.6,0.1,200,800,1000,0,13.0,0.0,1.0,12.0,0.0,6.0,0.0,1.0,0.42,0.4242,0.77,0.2836,29.0,55.0,84.0
1,2011-01-01,1,0,1,0,0,0,1,0.5,0.5,0.6,0.1,200,800,1000,0,14.0,0.0,1.0,13.0,0.0,6.0,0.0,2.0,0.46,0.4545,0.72,0.2985,47.0,47.0,94.0
1,2011-01-01,1,0,1,0,0,0,1,0.5,0.5,0.6,0.1,200,800,1000,0,15.0,0.0,1.0,14.0,0.0,6.0,0.0,2.0,0.46,0.4545,0.72,0.2836,35.0,71.0,106.0
1,2011-01-01,1,0,1,0,0,0,1,0.5,0.5,0.6,0.1,200,800,1000,0,16.0,0.0,1.0,15.0,0.0,6.0,0.0,2.0,0.44,0.4394,0.77,0.2985,40.0,70.0,110.0
1,2011-01-01,1,0,1,0,0,0,1,0.5,0.5,0.6,0.1,200,800,1000,0,17.0,0.0,1.0,16.0,0.0,6.0,0.0,2.0,0.42,0.4242,0.82,0.2985,41.0,52.0,93.0
1,2011-01-01,1,0,1,0,0,0,1,0.5,0.5,0.6,0.1,200,800,1000,0,18.0,0.0,1.0,17.0,0.0,6.0,0.0,2.0,0.44,0.4394,0.82,0.2836,15.0,52.0,67.0
1,2011-01-01,1,0,1,0,0,0,1,0.5,0.5,0.6,0.1,200,800,1000,0,19.0,0.0,1.0,18.0,0.0,6.0,0.0,3.0,0.42,0.4242,0.88,0.2537,9.0,26.0,35.0
1,2011-01-01,1,0,1,0,0,0,1,0.5,0.5,0.6,0.1,200,800,1000,0,20.0,0.0,1.0,19.0,0.0,6.0,0.0,3.0,0.42,0.4242,0.88,0.2537,6.0,31.0,37.0
1,2011-01-01,1,0,1,0,0,0,1,0.5,0.5,0.6,0.1,200,800,1000,0,21.0,0.0,1.0,20.0,0.0,6.0,0.0,2.0,0.4,0.4091,0.87,0.2537,11.0,25.0,36.0
1,2011-01-01,1,0,1,0,0,0,1,0.5,0.5,0.6,0.1,200,800,1000,0,22.0,0.0,1.0,21.0,0.0,6.0,0.0,2.0,0.4,0.4091,0.87,0.194,3.0,31.0,34.0
1,2011-01-01,1,0,1,0,0,0,1,0.5,0.5,0.6,0.1,200,800,1000,0,23.0,0.0,1.0,22.0,0.0,6.0,0.0,2.0,0.4,0.4091,0.94,0.2239,11.0,17.0,28.0
1,2011-01-01,1,0,1,0,0,0,1,0.5,0.5,0.6,0.1,200,800,1000,0,24.0,0.0,1.0,23.0,0.0,6.0,0.0,2.0,0.46,0.4545,0.88,0.2985,15.0,24.0,39.0
2,2011-01-02,2,1,2,1,1,1,2,0.5,0.5,0.6,0.1,200,800,1000,1,,,,,,,,,,,,,,,
3,2011-01-03,3,0,3,0,2,0,3,0.5,0.5,0.6,0.1,200,800,1000,2,,,,,,,,,,,,,,,
4,2011-01-04,4,1,4,1,3,1,1,0.5,0.5,0.6,0.1,200,800,1000,3,,,,,,,,,,,,,,,
5,2011-01-05,1,0,5,0,4,0,2,0.5,0.5,0.6,0.1,200,800,1000,4,93.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,0.2,0.2576,0.64,0.0,0.0,6.0,6.0
